Full name,Short Name,Readable Name,Year,Month,Mean,Std Dev,Min,Max,Cutoff,Bins,Ticks
AUDJPY_Ticks_2007.05.01_2007.05.31.csv,AUDJPY,AUD/JPY,2007,May,0.0261680874203563,0.00855839311647074,0.004,0.15,0.06,23,1176019
AUDUSD_Ticks_2007.05.01_2007.05.31.csv,AUDUSD,AUD/USD,2007,May,0.00014887281100149982,6.822183777364424e-05,-0.00094,0.00136,0.00045,11,94678
EURAUD_Ticks_2007.05.01_2007.05.31.csv,EURAUD,EUR/AUD,2007,May,0.0004446536432569796,0.00015130579160581452,5e-05,0.0024,0.0009,15,632758
EURGBP_Ticks_2007.05.01_2007.05.31.csv,EURGBP,EUR/GBP,2007,May,0.0001246427491605799,5.547421619881504e-05,4e-05,0.001,0.00027,13,1382502
EURJPY_Ticks_2007.05.01_2007.05.31.csv,EURJPY,EUR/JPY,2007,May,0.01816808275987514,0.007197266431305049,0.005,0.32,0.04,8,2001163
EURUSD_Ticks_2007.05.01_2007.05.31.csv,EURUSD,EUR/USD,2007,May,0.00013328298697037614,5.002231942760836e-05,4e-05,0.0003,0.0003,12,359642
GBPAUD_Ticks_2007.05.01_2007.05.31.csv,GBPAUD,GBP/AUD,2007,May,0.0005155785509601345,0.00013537147502647976,0.00035,0.00296,0.0009,38,546486
GBPJPY_Ticks_2007.05.01_2007.05.31.csv,GBPJPY,GBP/JPY,2007,May,0.042861055841613725,0.01223192781569116,0.005,0.35,0.07,27,1985222
GBPUSD_Ticks_2007.05.01_2007.05.31.csv,GBPUSD,GBP/USD,2007,May,0.00017985660836434303,7.297236989731631e-05,4e-05,0.0019,0.0004,19,2069786
USDJPY_Ticks_2007.05.01_2007.05.31.csv,USDJPY,USD/JPY,2007,May,0.01394321396176614,0.005858644517754261,0.005,0.18,0.03,6,1860968
AUDJPY_Ticks_2007.11.01_2007.11.30.csv,AUDJPY,AUD/JPY,2007,November,0.03582932354441393,0.011122836620796437,0.005,0.17,0.06,22,5581549
AUDUSD_Ticks_2007.11.01_2007.11.30.csv,AUDUSD,AUD/USD,2007,November,0.00015992535719394787,7.374507905412876e-05,-0.00103,0.0007,0.00045,50,510297
EURAUD_Ticks_2007.11.01_2007.11.30.csv,EURAUD,EUR/AUD,2007,November,0.0005690902751976055,0.00018943807350537358,5e-05,0.00325,0.0009,18,4322494
EURGBP_Ticks_2007.11.01_2007.11.30.csv,EURGBP,EUR/GBP,2007,November,0.00016069100826304094,6.809232516728398e-05,4e-05,0.00105,0.00027,11,3208746
EURJPY_Ticks_2007.11.01_2007.11.30.csv,EURJPY,EUR/JPY,2007,November,0.022852574374485585,0.010857342264342318,0.005,0.24,0.04,8,5650829
EURUSD_Ticks_2007.11.01_2007.11.30.csv,EURUSD,EUR/USD,2007,November,0.00011690262889457586,6.508782884066846e-05,4e-05,0.0007,0.0003,22,2514555
GBPAUD_Ticks_2007.11.01_2007.11.30.csv,GBPAUD,GBP/AUD,2007,November,0.0005163662519326701,0.00013186734865110655,0.00035,0.00296,0.0009,34,548464
GBPJPY_Ticks_2007.11.01_2007.11.30.csv,GBPJPY,GBP/JPY,2007,November,0.05172978104013555,0.01784110706991903,0.005,0.35,0.07,25,4234429
GBPUSD_Ticks_2007.11.01_2007.11.30.csv,GBPUSD,GBP/USD,2007,November,0.0002479908914161027,0.00014605613199213018,4e-05,0.0023,0.0004,23,4936662
USDJPY_Ticks_2007.11.01_2007.11.30.csv,USDJPY,USD/JPY,2007,November,0.014746861814260182,0.0066894552900710795,0.005,0.17,0.03,6,5532018
AUDJPY_Ticks_2007.10.01_2007.10.31.csv,AUDJPY,AUD/JPY,2007,October,0.032667875307214926,0.009106715408213218,0.005,0.155,0.06,20,4871589
AUDUSD_Ticks_2007.10.01_2007.10.31.csv,AUDUSD,AUD/USD,2007,October,0.00015554910906346548,6.056305077770609e-05,-0.00117,0.00066,0.00045,50,411421
EURAUD_Ticks_2007.10.01_2007.10.31.csv,EURAUD,EUR/AUD,2007,October,0.0004522139061685699,0.00016233227028687334,5e-05,0.0028,0.0009,18,2262291
EURGBP_Ticks_2007.10.01_2007.10.31.csv,EURGBP,EUR/GBP,2007,October,0.00012684448571643737,5.366443775269084e-05,4e-05,0.001,0.00027,14,2403567
